name,url,score,lat,lng,description,city_id,id
Maison Basque,https://www.booking.com/hotel/fr/maison-basque-biarritz.fr.html?aid=304142&label=gen173nr-10CAQoggJCD3NlYXJjaF9iaWFycml0ekgNWARoLIgBAZgBM7gBBsgBDNgBA-gBAfgBAYgCAagCAbgC1oDIzAbAAgHSAiRkZDFjN2QzNS1kZDdlLTQwZTEtYTg5NS04NzE1ZmJjYjViZDLYAgHgAgE&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=406856001_363113117_2_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=19&highlighted_blocks=406856001_363113117_2_0_0&hpos=19&matching_block_id=406856001_363113117_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=406856001_363113117_2_0_0__132056&srepoch=1771176024&srpvid=706e79ebc1800137&type=total&ucfs=1&,10.0,43.487619,-1.54013,"L’hébergement Maison Basque se situe à Biarritz, à respectivement 1,9 km, 4,2 km et 18 km de ces lieux d’intérêt : Plage du VVF, Gare de Biarritz La Négresse et Gare de Saint-Jean-de-Luz. Cette maison de vacances possède un jardin, un barbecue, une connexion Wi-Fi gratuite et un parking privé gratuit.

Disposant d’une terrasse et offrant une vue sur le jardin, cette maison de vacances comprend 2 chambres, un salon, une télévision à écran plat, une cuisine équipée avec un réfrigérateur et un lave-vaisselle, ainsi que 1 salle de bains avec une baignoire ou une douche. Des serviettes et du linge de lit sont à disposition.

Un service de location de vélos est assuré sur place.

Vous séjournerez à respectivement 18 km et 31 km de ces lieux d’intérêt : Église Saint-Jean-Baptiste et Gare d'Hendaye. L'aéroport le plus proche (Aéroport de Biarritz-Pays basque) est à 4 km.",c2f50322-370e-458e-b002-63b6d56d709a,4e4fdf41-2ed3-486e-b503-872ed8feef19
"Les oiseaux, maison de 3 chambres et climatisation",https://www.booking.com/hotel/fr/les-oiseaux-maison-de-3-chambres-et-climatisation.fr.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tb250YXViYW5IDVgEaCyIAQGYATO4AQbIAQzYAQPoAQH4AQGIAgGoAgG4Asv-x8wGwAIB0gIkMTNlNjg4YjItOTIzNS00MDcyLWI4ZjQtZDZhOTRhYWNmMTlh2AIB4AIB&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=1559859301_427087581_2_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=12&highlighted_blocks=1559859301_427087581_2_0_0&hpos=12&matching_block_id=1559859301_427087581_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1559859301_427087581_2_0_0__49085&srepoch=1771175758&srpvid=947b7965df760479&type=total&ucfs=1&,10.0,44.007198,1.365443,"L’hébergement Les oiseaux, maison de 3 chambres et climatisation vous accueille à Montauban. Cet hébergement met à votre disposition une terrasse, un parking privé gratuit et une connexion Wi-Fi gratuite.

Cette villa avec climatisation se compose de 3 chambres séparées, d'un salon, d'une cuisine entièrement équipée, et de 2 salles de bains. Une télévision à écran plat est à votre disposition.

L'aéroport le plus proche (Aéroport de Toulouse-Blagnac) est à 50 km.",4bb3d7b7-1139-45c0-98cb-c8673f796279,9833ecbc-c089-4418-a0cc-72c7e684111b
Chez Jérome - Bright and cinematic atmosphere,https://www.booking.com/hotel/fr/chez-jerome-bright-and-cinematic-atmosphere.fr.html?aid=304142&label=gen173nr-10CAQoggJCEHNlYXJjaF9tb250YXViYW5IDVgEaCyIAQGYATO4AQbIAQzYAQPoAQH4AQGIAgGoAgG4Asv-x8wGwAIB0gIkMTNlNjg4YjItOTIzNS00MDcyLWI4ZjQtZDZhOTRhYWNmMTlh2AIB4AIB&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=1557553301_426868728_0_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=24&highlighted_blocks=1557553301_426868728_0_0_0&hpos=24&matching_block_id=1557553301_426868728_0_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1557553301_426868728_0_0_0__29216&srepoch=1771175758&srpvid=947b7965df760479&type=total&ucfs=1&,10.0,44.0190489,1.3534232,"L’hébergement Chez Jérome - Bright and cinematic atmosphere se trouve à Montauban. Vous bénéficierez également d’une connexion Wi-Fi gratuite dans tout l'hébergement.

Cet appartement compte 1 chambre, un salon comportant une télévision à écran plat, une cuisine entièrement équipée et 1 salle de bains. Des serviettes et du linge de lit sont disponibles.

L'aéroport le plus proche (Aéroport de Toulouse-Blagnac) est à 51 km.",4bb3d7b7-1139-45c0-98cb-c8673f796279,e95188f9-d5b9-43e2-9dca-cdff91babf50
Au Cœur des Remparts,https://www.booking.com/hotel/fr/au-coeur-des-remparts-aigues-mortes.fr.html?aid=304142&label=gen173nr-10CAQoggJCFHNlYXJjaF9haWd1ZXMgbW9ydGVzSA1YBGgsiAEBmAEzuAEGyAEM2AED6AEB-AEBiAIBqAIBuAKc-cfMBsACAdICJDE4OGRkMDY0LTFhMDgtNDgxNy04Yzk5LTFhNWZiYzc1NmZjMdgCAeACAQ&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=325411502_117931950_2_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=23&highlighted_blocks=325411502_117931950_2_0_0&hpos=23&matching_block_id=325411502_117931950_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=325411502_117931950_2_0_0__45370&srepoch=1771175070&srpvid=5cb7780ee51a0708&type=total&ucfs=1&,10.0,43.565401,4.192973,"L’hébergement Au Cœur des Remparts se trouve à Aigues-Mortes, à respectivement 24 km et 28 km de ces lieux d’intérêt : Salle de concert Arena Montpellier et Zénith Sud Montpellier. Il propose une connexion Wi-Fi gratuite et la climatisation. Cet appartement 3 étoiles offre une vue sur la ville et est à 23 km de : Parc des expositions de Montpellier.

Cet appartement comporte 1 chambre, une kitchenette entièrement équipée avec un réfrigérateur et un micro-ondes, ainsi que 1 salle de bains avec une douche et un sèche-cheveux. Des serviettes et du linge de lit sont disponibles.

Vous séjournerez à respectivement 29 km et 31 km de ces lieux d’intérêt : Centre commercial régional Odysseum et Hôtel de ville de Montpellier. L'aéroport le plus proche (Aéroport Montpellier Méditerranée) est à 29 km.",00055de2-38aa-4809-9bbb-88835a10dab5,5d52a2b5-0a8b-41e0-ab08-e223d52158d1
la pause nimoise,https://www.booking.com/hotel/fr/la-pause-nimoise.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9uaW1lc0gNWARoLIgBAZgBM7gBBsgBDNgBA-gBAfgBAYgCAagCAbgCmfnHzAbAAgHSAiQyYjdmZGRmYi04NWI5LTQ0ZDctOWNlNy04ZjU5MTAyMWEzODXYAgHgAgE&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=625564002_247064006_2_1_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=15&highlighted_blocks=625564002_247064006_2_1_0&hpos=15&matching_block_id=625564002_247064006_2_1_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=625564002_247064006_2_1_0__58170&srepoch=1771175067&srpvid=eeac780cab2f0dd8&type=total&ucfs=1&,10.0,43.85597,4.36502,"Possédant un jardin, l’établissement la pause nimoise se situe à Nîmes dans la région Languedoc-Roussillon, à respectivement 14 km et 36 km de ces lieux d’intérêt : Parc des expositions de Nîmes et Arènes d'Arles. Il vous accueille à respectivement 44 km, 46 km et 47 km de : Gare d'Avignon-Centre, Palais des Papes d'Avignon et Gare TGV d'Avignon. Une piscine extérieure, une connexion Wi-Fi gratuite et un parking privé gratuit sont mis à votre disposition sur place.

Les hébergements comprennent la climatisation, un bureau, une télévision à écran plat, une salle de bains privative, du linge de lit, des serviettes et une terrasse offrant une vue sur le jardin. Vous profiterez aussi d’un coffre-fort.

Un petit-déjeuner continental est servi sur place.

L'aéroport le plus proche (Aéroport de Nîmes Alès Camargue Cévennes) est à 12 km.",1386d9d0-4517-4e65-9e0a-a27865893b7b,3e1b38c0-f937-4cb4-bfd8-3b21bb0b7ef4
Provençal bastide in Uzès,https://www.booking.com/hotel/fr/new-provencal-country-house-of-stone-with-pool-and-all-the-comforts-in-uzes.fr.html?aid=304142&label=gen173nr-10CAQoggJCC3NlYXJjaF91emVzSA1YBGgsiAEBmAEzuAEGyAEM2AED6AEB-AEBiAIBqAIBuALA98fMBsACAdICJDEyMDkzZWZmLTdiZDEtNDk3Mi05Y2RhLTY5YTBlNDM0N2Q2MtgCAeACAQ&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=999535401_372778075_10_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=5&highlighted_blocks=999535401_372778075_10_0_0&hpos=5&matching_block_id=999535401_372778075_10_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=999535401_372778075_10_0_0__108000&srepoch=1771174851&srpvid=4deb77a05f3009fb&type=total&ucfs=1&,10.0,44.004474989062,4.394352049725,"L’hébergement Provençal bastide in Uzès vous accueille à Uzès, à respectivement 27 km et 40 km de ces lieux d’intérêt : Parc des expositions de Nîmes et Gare d'Avignon-Centre. Il propose une connexion Wi-Fi gratuite, une terrasse et la climatisation. Cette villa possède une piscine privée, un jardin et un parking privé gratuit.

Cette villa compte 4 chambres, une cuisine avec un réfrigérateur et un lave-vaisselle, une télévision à écran plat, un coin salon, ainsi que 2 salles de bains possédant une douche. Des serviettes et du linge de lit moyennant des frais supplémentaires.

Sur place, vous pourrez profiter d’une piscine extérieure.

Vous séjournerez à respectivement 41 km et 43 km de ces lieux d’intérêt : Palais des Papes d'Avignon et Gare TGV d'Avignon. L'aéroport le plus proche (Aéroport de Nîmes Alès Camargue Cévennes) est à 35 km.",42082756-bd19-448b-8c6d-de04cb96a09d,d968f1dd-b138-42d4-a7e0-8d2f3459486c
Urban retreat in Paris,https://www.booking.com/hotel/fr/urban-retreat-in-paris.fr.html?aid=304142&label=gen173nr-10CAQoggJCDHNlYXJjaF9wYXJpc0gNWARoLIgBAZgBM7gBCMgBDNgBA-gBAfgBAYgCAagCAbgCxunHzAbAAgHSAiQxYmJkZTBiMS0yY2M3LTQzOWQtOGJiZi03N2ZlZGFmMWRmOWHYAgHgAgE&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=1571829701_428244445_4_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=7&highlighted_blocks=1571829701_428244445_4_0_0&hpos=7&matching_block_id=1571829701_428244445_4_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1571829701_428244445_4_0_0__100636&srepoch=1771173064&srpvid=0acd7422a2d305b9&type=total&ucfs=1&,10.0,48.8373463,2.2798714,"L’hébergement Urban retreat in Paris vous accueille dans le quartier 15e arr. À Paris, à proximité de ce lieu d’intérêt : Paris Expo Porte de Versailles. Il possède une connexion Wi-Fi gratuite et un lave-linge. Cet appartement est à respectivement 3,1 km et 3,4 km de : Tour Eiffel et Parc des Princes.

Cet appartement comporte 1 chambre, une télévision à écran plat, ainsi qu’une cuisine.

Vous séjournerez à respectivement 4 km et 5 km de ces lieux d’intérêt : Musée Rodin et Musée d'Orsay. L'aéroport le plus proche (Aéroport de Paris - Orly) est à 15 km.",377c3692-cb93-4d72-b22e-a9ff0f95e922,28efcba2-813b-4f85-8ab5-1acddcd255d3
Appartement cosy au cœur de Colmar,https://www.booking.com/hotel/fr/appartement-cosy-au-coeur-de-colmar.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaCyIAQGYATO4AQbIAQzYAQPoAQH4AQGIAgGoAgG4AvLtx8wGwAIB0gIkMzA1YmZjYWItNjdjYi00N2JkLTg1ODktODdlZDU3NjAyYmZm2AIB4AIB&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=1536211001_425099139_2_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=22&highlighted_blocks=1536211001_425099139_2_0_0&hpos=22&matching_block_id=1536211001_425099139_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1536211001_425099139_2_0_0__28485&srepoch=1771173621&srpvid=7f1875392f6001f0&type=total&ucfs=1&,10.0,48.0851627,7.340038,"L’hébergement Appartement cosy au cœur de Colmar se situe à Colmar, à respectivement 2 km, 2,3 km et 3,7 km de ces lieux d’intérêt : Collégiale Saint-Martin, Gare de Colmar et Parc des expositions et des congrès de Colmar. Cet hébergement est installé à 1,7 km de : Maison des Têtes. Vous pourrez profiter d’une connexion Wi-Fi gratuite et d’un parking privé disponible sur place.

Cet appartement compte 1 chambre, une cuisine avec un réfrigérateur et un lave-vaisselle, une télévision à écran plat, un coin salon, ainsi que 1 salle de bains possédant une baignoire. Des serviettes et du linge de lit sont à disposition.

Vous séjournerez à respectivement 28 km et 43 km de ces lieux d’intérêt : Château du Haut-Kœnigsbourg et Gare de Mulhouse. L'aéroport le plus proche (Aéroport de Strasbourg Entzheim) est à 62 km.",e820a234-0a18-431f-9173-2f72fe75049c,8bf66fc4-69bd-4b66-808d-adfeb6d857d7
Zofia appartements - Appartement avec cour privée #1,https://www.booking.com/hotel/fr/zofia-appartements-appartement-avec-cour-privee-1.fr.html?aid=304142&label=gen173nr-10CAQoggJCF3NlYXJjaF9nb3JnZXMgZHUgdmVyZG9uSA1YBGgsiAEBmAEzuAENyAEM2AED6AEB-AEBiAIBqAIBuALG8sfMBsACAdICJGM3NDdlYmM3LWZjNWYtNGQ3My04ZDJiLTJkMjliYWJhMzY3ZdgCAeACAQ&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=1035628801_376124550_2_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=6&highlighted_blocks=1035628801_376124550_2_0_0&hpos=6&matching_block_id=1035628801_376124550_2_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=1035628801_376124550_2_0_0__39900&srepoch=1771174216&srpvid=5aba76638bef0669&type=total&ucfs=1&,9.9,43.847638257497,6.220902041087,"Situé à Moustiers-Sainte-Marie, l’hébergement Zofia appartements - Appartement avec cour privée #1 offre une vue sur le jardin. Il propose un jardin, une terrasse et une connexion Wi-Fi gratuite. Cet appartement met à votre disposition un balcon.

Cet appartement compte 1 chambre, un salon comportant une télévision à écran plat, une cuisine entièrement équipée avec un réfrigérateur et un four, ainsi que 1 salle de bains avec un sèche-cheveux. Des serviettes et du linge de lit sont disponibles.

Vous séjournerez à 41 km de ce lieu d’intérêt : Golf de Digne-les-Bains. L'aéroport le plus proche (Aéroport de Marseille Provence) est à 123 km.",f096b492-384a-4d87-9027-26e06db00d31,c9035811-c0ee-4209-85e2-66ee4875dda1
Home La Petite Porte - Petite Venise - Colmar,https://www.booking.com/hotel/fr/home-la-petite-porte-petite-venise-colmar.fr.html?aid=304142&label=gen173nr-10CAQoggJCDXNlYXJjaF9jb2xtYXJIDVgEaCyIAQGYATO4AQbIAQzYAQPoAQH4AQGIAgGoAgG4AvLtx8wGwAIB0gIkMzA1YmZjYWItNjdjYi00N2JkLTg1ODktODdlZDU3NjAyYmZm2AIB4AIB&sid=24e104502c5713559389a494ae60ad70&all_sr_blocks=859810501_359214664_6_0_0&checkin=2026-03-17&checkout=2026-03-22&dist=0&group_adults=2&group_children=0&hapos=20&highlighted_blocks=859810501_359214664_6_0_0&hpos=20&matching_block_id=859810501_359214664_6_0_0&no_rooms=1&req_adults=2&req_children=0&room1=A%2CA&sb_price_type=total&sr_order=popularity&sr_pri_blocks=859810501_359214664_6_0_0__133449&srepoch=1771173621&srpvid=7f1875392f6001f0&type=total&ucfs=1&,9.9,48.0739472,7.3601605,"L’hébergement Home La Petite Porte - Petite Venise - Colmar se situe à Colmar, à 700 mètres de ce lieu d’intérêt : Maison des Têtes. Il possède un salon commun, une connexion Wi-Fi gratuite et une cuisine commune. Cette maison de vacances 4 étoiles est à 1,2 km de : Gare de Colmar.

Cette maison de vacances se compose de 4 chambres, d'un salon, d'une cuisine entièrement équipée avec un réfrigérateur et une machine à café, ainsi que de 2 salles de bains avec une douche et un sèche-cheveux. Cet hébergement met à votre disposition des serviettes et du linge de lit.

Vous séjournerez à respectivement 300 mètres et 3,7 km de ces lieux d’intérêt : Collégiale Saint-Martin et Parc des expositions et des congrès de Colmar. L'aéroport le plus proche (EuroAirport Mulhouse) est à 54 km.",e820a234-0a18-431f-9173-2f72fe75049c,02a180be-404d-415e-b67c-d64cb4705622
