city,lat,lon,date,hour,temp,prob_rain,volume_rain,wind_speed,perc_cloud
Mont Saint Michel,48.6359541,-1.51146,2026-08-16,14:00,23.36,0.0,0.0,5.71,74
Mont Saint Michel,48.6359541,-1.51146,2026-08-16,17:00,23.55,0.0,0.0,7.03,90
Mont Saint Michel,48.6359541,-1.51146,2026-08-16,20:00,20.97,0.0,0.0,5.42,90
Mont Saint Michel,48.6359541,-1.51146,2026-08-16,23:00,18.13,0.0,0.0,3.87,93
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,02:00,17.8,0.0,0.0,2.49,96
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,05:00,17.12,0.0,0.0,2.78,100
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,08:00,17.92,0.0,0.0,4.08,100
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,11:00,21.03,0.0,0.0,5.17,100
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,14:00,22.74,0.0,0.0,5.74,100
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,17:00,23.39,0.0,0.0,5.58,92
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,20:00,21.14,0.0,0.0,4.56,62
Mont Saint Michel,48.6359541,-1.51146,2026-08-17,23:00,17.89,0.0,0.0,3.65,5
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,02:00,17.73,0.0,0.0,4.34,13
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,05:00,16.88,0.0,0.0,3.61,35
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,08:00,16.83,0.0,0.0,3.16,45
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,11:00,21.12,0.0,0.0,4.34,72
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,14:00,22.64,0.0,0.0,4.88,81
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,17:00,23.59,0.0,0.0,5.89,96
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,20:00,21.02,0.0,0.0,6.22,98
Mont Saint Michel,48.6359541,-1.51146,2026-08-18,23:00,18.4,0.0,0.0,4.79,74
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,02:00,17.81,0.0,0.0,5.16,52
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,05:00,17.77,0.21,0.13,6.07,89
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,08:00,16.13,1.0,1.28,3.29,94
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,11:00,19.53,0.0,0.0,5.79,97
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,14:00,20.88,0.2,0.19,6.5,69
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,17:00,20.99,0.0,0.0,6.48,37
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,20:00,18.89,0.0,0.0,6.32,21
Mont Saint Michel,48.6359541,-1.51146,2026-08-19,23:00,15.8,0.0,0.0,4.61,19
Mont Saint Michel,48.6359541,-1.51146,2026-08-20,02:00,14.66,0.0,0.0,4.63,39
Mont Saint Michel,48.6359541,-1.51146,2026-08-20,05:00,14.04,0.0,0.0,4.9,38
Mont Saint Michel,48.6359541,-1.51146,2026-08-20,08:00,16.07,0.2,0.1,5.09,69
Mont Saint Michel,48.6359541,-1.51146,2026-08-20,11:00,19.6,0.0,0.0,6.93,100
Mont Saint Michel,48.6359541,-1.51146,2026-08-20,14:00,20.68,0.0,0.0,8.21,95
