city,lat,lon,date,temp,temp,temp,prob_rain,volume_rain,volume_rain,volume_rain,wind_speed,perc_cloud,score_temp,score_rain_prob,score_rain_vol,score_wind,score_cloud,total_score
,,,,mean,min,max,max,mean,max,sum,max,mean,,,,,,
Aigues Mortes,43.5661521,4.19154,2026-08-16,28.9925,25.4,31.06,35.0,0.055,0.22,0.22,21.888,48.75,75.76,65.0,98.9,78.112,51.25,78.3342
Aigues Mortes,43.5661521,4.19154,2026-08-17,29.24125,22.25,36.12,18.0,0.0,0.0,0.0,25.02,57.5,55.52000000000001,82.0,100.0,74.98,42.5,74.804
Aigues Mortes,43.5661521,4.19154,2026-08-18,29.53875,25.73,33.4,0.0,0.0,0.0,0.0,22.428,21.0,66.4,100.0,100.0,77.572,79.0,85.5772
Aigues Mortes,43.5661521,4.19154,2026-08-19,28.845,26.08,31.55,0.0,0.0,0.0,0.0,37.980000000000004,6.375,73.8,100.0,100.0,62.019999999999996,93.625,87.7045
Aigues Mortes,43.5661521,4.19154,2026-08-20,26.53375,23.19,28.69,71.0,0.09875,0.34,0.79,25.2,82.0,85.24,29.0,96.05,74.8,18.0,69.467
Aigues Mortes,43.5661521,4.19154,2026-08-21,25.0925,23.77,27.44,0.0,0.0,0.0,0.0,13.464,74.75,90.24,100.0,100.0,86.536,25.25,88.2506
Aix en Provence,43.5298424,5.4474738,2026-08-16,29.6275,23.32,34.04,0.0,0.0,0.0,0.0,21.384,20.0,63.84,100.0,100.0,78.616,80.0,85.0136
Aix en Provence,43.5298424,5.4474738,2026-08-17,28.085,20.16,36.98,0.0,0.0,0.0,0.0,33.552,68.0,52.08000000000001,100.0,100.0,66.44800000000001,32.0,75.4688
Aix en Provence,43.5298424,5.4474738,2026-08-18,29.7575,23.47,36.43,0.0,0.0,0.0,0.0,27.108,34.125,54.28,100.0,100.0,72.892,65.875,80.16069999999999
Aix en Provence,43.5298424,5.4474738,2026-08-19,29.855,25.7,35.07,0.0,0.0,0.0,0.0,17.424,16.5,59.72,100.0,100.0,82.576,83.5,84.52359999999999
Aix en Provence,43.5298424,5.4474738,2026-08-20,29.368750000000002,26.75,33.08,100.0,0.12125,0.77,0.97,15.624,71.875,67.68,0.0,95.15,84.376,28.125,60.09910000000001
Aix en Provence,43.5298424,5.4474738,2026-08-21,26.4975,25.1,28.7,0.0,0.0,0.0,0.0,15.912,60.75,85.2,100.0,100.0,84.088,39.25,87.8938
Amiens,49.8941708,2.2956951,2026-08-16,25.3375,21.74,27.32,0.0,0.0,0.0,0.0,17.892,77.5,90.72,100.0,100.0,82.108,22.5,87.6768
Amiens,49.8941708,2.2956951,2026-08-17,22.5125,18.57,28.22,20.0,0.01875,0.15,0.15,24.804,92.625,87.12,80.0,99.25,75.196,7.375,80.1681
Amiens,49.8941708,2.2956951,2026-08-18,21.2375,16.63,27.62,0.0,0.0,0.0,0.0,29.340000000000003,84.875,89.52,100.0,100.0,70.66,15.125,85.4345
Amiens,49.8941708,2.2956951,2026-08-19,19.7525,14.15,25.45,100.0,0.16499999999999998,1.17,1.3199999999999998,29.412,69.25,98.2,0.0,93.4,70.588,30.75,67.61380000000001
Amiens,49.8941708,2.2956951,2026-08-20,17.055,11.56,21.72,61.0,0.03875,0.31,0.31,28.656,52.125,86.88,39.0,98.45,71.344,47.875,75.3209
Amiens,49.8941708,2.2956951,2026-08-21,14.81,12.88,19.12,100.0,0.1275,0.51,0.51,19.224,7.25,76.48,0.0,97.45,80.776,92.75,69.53160000000001
Annecy,45.8992348,6.1288847,2026-08-16,28.4525,23.21,31.87,100.0,0.2775,1.11,1.11,8.1,64.25,72.52,0.0,94.45,91.9,35.75,62.855999999999995
Annecy,45.8992348,6.1288847,2026-08-17,24.68,20.59,29.52,100.0,0.555,1.93,4.44,5.796,85.875,81.92,0.0,77.8,94.204,14.125,58.7489
Annecy,45.8992348,6.1288847,2026-08-18,23.055,15.98,30.32,0.0,0.0,0.0,0.0,5.867999999999999,45.375,78.72,100.0,100.0,94.132,54.625,88.49170000000001
Annecy,45.8992348,6.1288847,2026-08-19,23.7,17.7,31.12,0.0,0.0,0.0,0.0,7.776000000000001,27.5,75.52,100.0,100.0,92.224,72.5,89.1284
Annecy,45.8992348,6.1288847,2026-08-20,21.59125,16.41,29.08,100.0,0.1075,0.86,0.86,8.604000000000001,85.25,83.68,0.0,95.7,91.396,14.75,64.4286
